experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed
588,0.001,10000,300,32,80,10,forward,RAND,15,349
306,0.001,10000,300,512,80,40,forward,FF,15,46
271,0.001,10000,1800,512,160,20,forward,FF,15,520
27,0.001,10000,300,128,160,10,forward,LSTM,15,744
307,0.001,10000,1800,512,80,40,forward,FF,15,171
546,0.001,10000,300,512,80,80,forward,ZERO,15,446
355,0.001,10000,1800,512,80,80,forward,FF,15,516
717,0.001,10000,300,1024,320,40,forward,RAND,15,718
695,0.001,10000,3600,1024,80,40,forward,RAND,15,633
561,0.001,10000,300,1024,160,80,forward,ZERO,15,429
673,0.001,10000,1800,32,40,40,forward,RAND,15,292
142,0.001,10000,1800,1024,320,40,forward,LSTM,15,196
737,0.001,10000,3600,128,80,80,forward,RAND,15,99
668,0.001,10000,3600,512,320,20,forward,RAND,15,201
699,0.001,10000,300,128,160,40,forward,RAND,15,91
647,0.001,10000,3600,1024,80,20,forward,RAND,15,43
595,0.001,10000,1800,512,80,10,forward,RAND,15,651
118,0.001,10000,1800,1024,80,40,forward,LSTM,15,249
587,0.001,10000,3600,1024,40,10,forward,RAND,15,129
458,0.001,10000,3600,32,160,20,forward,ZERO,15,22
499,0.001,10000,1800,512,80,40,forward,ZERO,15,384
253,0.001,10000,1800,32,80,20,forward,FF,15,293
2,0.001,10000,3600,32,40,10,forward,LSTM,15,113
292,0.001,10000,1800,128,40,40,forward,FF,15,173
85,0.001,10000,1800,32,320,20,forward,LSTM,15,350
133,0.001,10000,1800,32,320,40,forward,LSTM,15,409
107,0.001,10000,3600,1024,40,40,forward,LSTM,15,471
435,0.001,10000,300,128,40,20,forward,ZERO,15,457
246,0.001,10000,300,512,40,20,forward,FF,15,625
148,0.001,10000,1800,128,40,80,forward,LSTM,15,416
344,0.001,10000,3600,512,40,80,forward,FF,15,689
542,0.001,10000,3600,32,80,80,forward,ZERO,15,654
174,0.001,10000,300,512,160,80,forward,LSTM,15,263
211,0.001,10000,1800,512,80,10,forward,FF,15,553
555,0.001,10000,300,128,160,80,forward,ZERO,15,88
436,0.001,10000,1800,128,40,20,forward,ZERO,15,658
171,0.001,10000,300,128,160,80,forward,LSTM,15,462
121,0.001,10000,1800,32,160,40,forward,LSTM,15,362
580,0.001,10000,1800,128,40,10,forward,RAND,15,664
112,0.001,10000,1800,128,80,40,forward,LSTM,15,586
80,0.001,10000,3600,512,160,20,forward,LSTM,15,583
527,0.001,10000,3600,1024,320,40,forward,ZERO,15,340
45,0.001,10000,300,1024,320,10,forward,LSTM,15,145
98,0.001,10000,3600,32,40,40,forward,LSTM,15,39
19,0.001,10000,1800,512,80,10,forward,LSTM,15,365
664,0.001,10000,1800,128,320,20,forward,RAND,15,555
96,0.001,10000,300,32,40,40,forward,LSTM,15,638
357,0.001,10000,300,1024,80,80,forward,FF,15,392
178,0.001,10000,1800,1024,160,80,forward,LSTM,15,704
108,0.001,10000,300,32,80,40,forward,LSTM,15,316
268,0.001,10000,1800,128,160,20,forward,FF,15,337
432,0.001,10000,300,32,40,20,forward,ZERO,15,767
153,0.001,10000,300,1024,40,80,forward,LSTM,15,380
456,0.001,10000,300,32,160,20,forward,ZERO,15,378
530,0.001,10000,3600,32,40,80,forward,ZERO,15,146
1,0.001,10000,1800,32,40,10,forward,LSTM,15,122
725,0.001,10000,3600,128,40,80,forward,RAND,15,244
465,0.001,10000,300,1024,160,20,forward,ZERO,15,281
69,0.001,10000,300,1024,80,20,forward,LSTM,15,403
635,0.001,10000,3600,1024,40,20,forward,RAND,15,444
48,0.001,10000,300,32,40,20,forward,LSTM,15,198
705,0.001,10000,300,1024,160,40,forward,RAND,15,321
656,0.001,10000,3600,512,160,20,forward,RAND,15,594
576,0.001,10000,300,32,40,10,forward,RAND,15,138
747,0.001,10000,300,128,160,80,forward,RAND,15,87
710,0.001,10000,3600,32,320,40,forward,RAND,15,617
389,0.001,10000,3600,128,40,10,forward,ZERO,15,679
231,0.001,10000,300,128,320,10,forward,FF,15,580
331,0.001,10000,1800,512,320,40,forward,FF,15,614
215,0.001,10000,3600,1024,80,10,forward,FF,15,92
55,0.001,10000,1800,512,40,20,forward,LSTM,15,75
424,0.001,10000,1800,128,320,10,forward,ZERO,15,343
539,0.001,10000,3600,1024,40,80,forward,ZERO,15,376
603,0.001,10000,300,128,160,10,forward,RAND,15,507
444,0.001,10000,300,32,80,20,forward,ZERO,15,519
446,0.001,10000,3600,32,80,20,forward,ZERO,15,616
224,0.001,10000,3600,512,160,10,forward,FF,15,211
501,0.001,10000,300,1024,80,40,forward,ZERO,15,105
218,0.001,10000,3600,32,160,10,forward,FF,15,294
651,0.001,10000,300,128,160,20,forward,RAND,15,41
753,0.001,10000,300,1024,160,80,forward,RAND,15,600
104,0.001,10000,3600,512,40,40,forward,LSTM,15,267
480,0.001,10000,300,32,40,40,forward,ZERO,15,160
632,0.001,10000,3600,512,40,20,forward,RAND,15,286
361,0.001,10000,1800,32,160,80,forward,FF,15,673
335,0.001,10000,3600,1024,320,40,forward,FF,15,134
654,0.001,10000,300,512,160,20,forward,RAND,15,209
637,0.001,10000,1800,32,80,20,forward,RAND,15,371
735,0.001,10000,300,128,80,80,forward,RAND,15,659
709,0.001,10000,1800,32,320,40,forward,RAND,15,42
676,0.001,10000,1800,128,40,40,forward,RAND,15,197
388,0.001,10000,1800,128,40,10,forward,ZERO,15,100
423,0.001,10000,300,128,320,10,forward,ZERO,15,601
400,0.001,10000,1800,128,80,10,forward,ZERO,15,712
37,0.001,10000,1800,32,320,10,forward,LSTM,15,500
308,0.001,10000,3600,512,80,40,forward,FF,15,730
638,0.001,10000,3600,32,80,20,forward,RAND,15,670
317,0.001,10000,3600,128,160,40,forward,FF,15,213
652,0.001,10000,1800,128,160,20,forward,RAND,15,411
276,0.001,10000,300,32,320,20,forward,FF,15,90
714,0.001,10000,300,512,320,40,forward,RAND,15,488
184,0.001,10000,1800,128,320,80,forward,LSTM,15,750
329,0.001,10000,3600,128,320,40,forward,FF,15,26
23,0.001,10000,3600,1024,80,10,forward,LSTM,15,352
275,0.001,10000,3600,1024,160,20,forward,FF,15,701
364,0.001,10000,1800,128,160,80,forward,FF,15,298
369,0.001,10000,300,1024,160,80,forward,FF,15,339
130,0.001,10000,1800,1024,160,40,forward,LSTM,15,71
42,0.001,10000,300,512,320,10,forward,LSTM,15,563
