experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,rep,seed,FIT,RMSE
67,0.001,10000,3600,128,80,40,forward,LSTM,15,67,84,98.45579528808594,3.6929163616150618
35,0.001,10000,3600,128,80,40,forward,LSTM,15,35,27,98.38368225097656,3.865372622385621
62,0.001,10000,3600,128,80,40,forward,LSTM,15,62,66,98.68710327148438,3.1397517304867506
2,0.001,10000,3600,128,80,40,forward,LSTM,15,2,2,98.19309997558594,4.321148619055748
59,0.001,10000,3600,128,80,40,forward,LSTM,15,59,52,98.10930633544922,4.521546885371208
23,0.001,10000,3600,128,80,40,forward,LSTM,15,23,71,98.90791320800781,2.6117039378732443
58,0.001,10000,3600,128,80,40,forward,LSTM,15,58,23,98.30279541015625,4.0588234551250935
43,0.001,10000,3600,128,80,40,forward,LSTM,15,43,41,98.697509765625,3.114855382591486
10,0.001,10000,3600,128,80,40,forward,LSTM,15,10,53,98.36661529541016,3.9061957504600286
0,0.001,10000,3600,128,80,40,forward,LSTM,15,0,26,98.44922637939453,3.708635224029422
73,0.001,10000,3600,128,80,40,forward,LSTM,15,73,97,98.26301574707031,4.15393989533186
21,0.001,10000,3600,128,80,40,forward,LSTM,15,21,62,98.25377655029297,4.176053684204817
77,0.001,10000,3600,128,80,40,forward,LSTM,15,77,94,98.67623138427734,3.165766131132841
42,0.001,10000,3600,128,80,40,forward,LSTM,15,42,42,97.55943298339844,5.836541764438152
3,0.001,10000,3600,128,80,40,forward,LSTM,15,3,55,98.68408203125,3.1469748355448246
93,0.001,10000,3600,128,80,40,forward,LSTM,15,93,83,97.79510498046875,5.2729407325387
48,0.001,10000,3600,128,80,40,forward,LSTM,15,48,38,98.53829956054688,3.495620097965002
34,0.001,10000,3600,128,80,40,forward,LSTM,15,34,51,98.04326629638672,4.679469857364893
