experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed,FIT,RMSE
616,0.001,10000,1800,128,320,10,forward,RAND,15,139,95.92322540283203,9.749487042427063
464,0.001,10000,3600,512,160,20,forward,ZERO,15,732,98.41806030273438,3.783180844038725
93,0.001,10000,300,1024,320,20,forward,LSTM,15,50,87.68255615234375,29.45682592689991
262,0.001,10000,1800,1024,80,20,forward,FF,15,467,97.4083480834961,6.197859067469835
674,0.001,10000,3600,32,40,40,forward,RAND,15,256,98.45996856689453,3.682950045913458
299,0.001,10000,3600,1024,40,40,forward,FF,15,657,97.68656921386719,5.5325087159872055
67,0.001,10000,1800,512,80,20,forward,LSTM,15,272,97.9002685546875,5.02144917845726
744,0.001,10000,300,32,160,80,forward,RAND,15,677,90.77008819580078,22.07307517528534
302,0.001,10000,3600,32,80,40,forward,FF,15,89,98.09747314453125,4.549841862171888
512,0.001,10000,3600,512,160,40,forward,ZERO,15,570,98.01966857910156,4.735910799354315
310,0.001,10000,1800,1024,80,40,forward,FF,15,107,97.76944732666016,5.3343139588832855
644,0.001,10000,3600,512,80,20,forward,RAND,15,80,98.48509216308594,3.622861811891198
315,0.001,10000,300,128,160,40,forward,FF,15,102,94.19383239746094,13.885282911360264
152,0.001,10000,3600,512,40,80,forward,LSTM,15,527,98.38286590576172,3.8673272356390953
46,0.001,10000,1800,1024,320,10,forward,LSTM,15,271,97.72840881347656,5.432447884231806
376,0.001,10000,1800,128,320,80,forward,FF,15,309,97.45431518554688,6.087941583245993
631,0.001,10000,1800,512,40,20,forward,RAND,15,280,97.84007263183594,5.165413953363895
139,0.001,10000,1800,512,320,40,forward,LSTM,15,653,96.6144790649414,8.096371777355671
229,0.001,10000,1800,32,320,10,forward,FF,15,758,97.53062438964844,5.905433092266321
169,0.001,10000,1800,32,160,80,forward,LSTM,15,536,97.19743347167969,6.702254060655832
14,0.001,10000,3600,32,80,10,forward,LSTM,15,737,98.38502502441406,3.8621777202934027
321,0.001,10000,300,1024,160,40,forward,FF,15,478,93.67127990722656,15.134955756366253
136,0.001,10000,1800,128,320,40,forward,LSTM,15,687,97.58326721191406,5.779547151178122
582,0.001,10000,300,512,40,10,forward,RAND,15,234,92.7813491821289,17.26321130990982
438,0.001,10000,300,512,40,20,forward,ZERO,15,615,94.86884307861328,12.271015904843807
72,0.001,10000,300,32,160,20,forward,LSTM,15,253,93.43289184570312,15.705065801739693
642,0.001,10000,300,512,80,20,forward,RAND,15,182,94.47543334960938,13.211846351623535
408,0.001,10000,300,32,160,10,forward,ZERO,15,635,92.56693267822266,17.77598075568676
232,0.001,10000,1800,128,320,10,forward,FF,15,418,96.11605834960938,9.288330562412739
689,0.001,10000,3600,128,80,40,forward,RAND,15,131,97.95887756347656,4.8812865279614925
122,0.001,10000,3600,32,160,40,forward,LSTM,15,318,97.89966583251953,5.022876895964146
482,0.001,10000,3600,32,40,40,forward,ZERO,15,238,98.2520523071289,4.18017478659749
341,0.001,10000,3600,128,40,80,forward,FF,15,641,97.17020416259766,6.767374463379383
4,0.001,10000,1800,128,40,10,forward,LSTM,15,529,98.45024108886719,3.70620540343225
189,0.001,10000,300,1024,320,80,forward,LSTM,15,382,90.59503936767578,22.49169535934925
350,0.001,10000,3600,32,80,80,forward,FF,15,369,97.7547378540039,5.369493737816811
726,0.001,10000,300,512,40,80,forward,RAND,15,714,92.82923889160156,17.148684710264206
598,0.001,10000,1800,1024,80,10,forward,RAND,15,525,96.68496704101562,7.927814498543739
