experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed
328,0.001,10000,300,1024,64,10,ZERO,30,98
76,0.001,10000,300,1024,64,40,FF,10,221
64,0.001,10000,300,1024,256,10,FF,10,402
110,0.001,10000,300,128,64,10,ZERO,10,55
52,0.001,10000,300,1024,512,100,LSTM,10,6
366,0.001,10000,300,32,256,100,ZERO,30,321
301,0.001,10000,1800,32,512,40,FF,30,80
261,0.001,10000,1800,128,256,100,LSTM,30,13
124,0.001,10000,300,1024,512,10,ZERO,10,8
87,0.001,10000,1800,128,512,40,FF,10,391
277,0.001,10000,1800,32,256,10,FF,30,237
34,0.001,10000,300,1024,512,40,LSTM,10,200
348,0.001,10000,300,32,256,40,ZERO,30,180
209,0.001,10000,1800,1024,256,100,RAND,10,29
215,0.001,10000,1800,1024,512,100,RAND,10,383
118,0.001,10000,300,1024,256,10,ZERO,10,264
12,0.001,10000,300,32,512,10,LSTM,10,317
157,0.001,10000,1800,32,512,100,ZERO,10,355
269,0.001,10000,1800,1024,512,100,LSTM,30,110
322,0.001,10000,300,1024,512,100,FF,30,187
127,0.001,10000,1800,32,64,40,ZERO,10,247
362,0.001,10000,300,128,64,100,ZERO,30,119
181,0.001,10000,1800,32,64,40,RAND,10,307
379,0.001,10000,1800,32,64,10,RAND,30,28
239,0.001,10000,1800,1024,64,40,LSTM,30,239
97,0.001,10000,1800,32,256,100,FF,10,68
146,0.001,10000,300,128,64,100,ZERO,10,206
298,0.001,10000,300,1024,256,40,FF,30,376
230,0.001,10000,300,128,512,10,LSTM,30,215
183,0.001,10000,1800,128,64,40,RAND,10,33
177,0.001,10000,1800,128,512,10,RAND,10,301
58,0.001,10000,300,1024,64,10,FF,10,164
337,0.001,10000,1800,32,512,10,ZERO,30,169
394,0.001,10000,300,1024,512,10,RAND,30,285
69,0.001,10000,1800,128,512,10,FF,10,142
241,0.001,10000,1800,32,256,40,LSTM,30,67
152,0.001,10000,300,128,256,100,ZERO,10,322
319,0.001,10000,1800,32,512,100,FF,30,62
191,0.001,10000,1800,1024,256,40,RAND,10,167
267,0.001,10000,1800,128,512,100,LSTM,30,429
17,0.001,10000,1800,1024,512,10,LSTM,10,188
341,0.001,10000,1800,1024,512,10,ZERO,30,341
402,0.001,10000,300,32,256,40,RAND,30,115
416,0.001,10000,300,128,64,100,RAND,30,88
311,0.001,10000,1800,1024,64,100,FF,30,270
349,0.001,10000,1800,32,256,40,ZERO,30,131
293,0.001,10000,1800,1024,64,40,FF,30,184
411,0.001,10000,1800,128,512,40,RAND,30,418
357,0.001,10000,1800,128,512,40,ZERO,30,375
306,0.001,10000,300,32,64,100,FF,30,266
57,0.001,10000,1800,128,64,10,FF,10,330
242,0.001,10000,300,128,256,40,LSTM,30,24
401,0.001,10000,1800,1024,64,40,RAND,30,243
378,0.001,10000,300,32,64,10,RAND,30,290
170,0.001,10000,300,128,256,10,RAND,10,168
187,0.001,10000,1800,32,256,40,RAND,10,245
47,0.001,10000,1800,1024,256,100,LSTM,10,366
368,0.001,10000,300,128,256,100,ZERO,30,386
45,0.001,10000,1800,128,256,100,LSTM,10,96
199,0.001,10000,1800,32,64,100,RAND,10,331
382,0.001,10000,300,1024,64,10,RAND,30,163
62,0.001,10000,300,128,256,10,FF,10,352
78,0.001,10000,300,32,256,40,FF,10,52
356,0.001,10000,300,128,512,40,ZERO,30,121
198,0.001,10000,300,32,64,100,RAND,10,108
350,0.001,10000,300,128,256,40,ZERO,30,388
119,0.001,10000,1800,1024,256,10,ZERO,10,411
153,0.001,10000,1800,128,256,100,ZERO,10,140
307,0.001,10000,1800,32,64,100,FF,30,36
21,0.001,10000,1800,128,64,40,LSTM,10,308
254,0.001,10000,300,128,64,100,LSTM,30,342
250,0.001,10000,300,1024,512,40,LSTM,30,93
243,0.001,10000,1800,128,256,40,LSTM,30,289
429,0.001,10000,1800,128,512,100,RAND,30,117
35,0.001,10000,1800,1024,512,40,LSTM,10,220
81,0.001,10000,1800,128,256,40,FF,10,45
159,0.001,10000,1800,128,512,100,ZERO,10,146
182,0.001,10000,300,128,64,40,RAND,10,133
304,0.001,10000,300,1024,512,40,FF,30,353
