experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed,FIT
189,0.001,10000,1800,128,256,40,RAND,10,85,85.91343688964844
346,0.001,10000,300,1024,64,40,ZERO,30,143,81.42554473876953
222,0.001,10000,300,32,256,10,LSTM,30,407,85.76901249655317
266,0.001,10000,300,128,512,100,LSTM,30,83,78.7464663437006
294,0.001,10000,300,32,256,40,FF,30,327,82.89879957530117
227,0.001,10000,1800,1024,256,10,LSTM,30,253,89.80067909168294
370,0.001,10000,300,1024,256,100,ZERO,30,105,80.49427795410156
320,0.001,10000,300,128,512,100,FF,30,328,81.75597512108645
351,0.001,10000,1800,128,256,40,ZERO,30,430,81.73028564453125
145,0.001,10000,1800,32,64,100,ZERO,10,145,86.11862182617188
259,0.001,10000,1800,32,256,100,LSTM,30,271,84.16341538191806
147,0.001,10000,1800,128,64,100,ZERO,10,232,88.66587829589844
278,0.001,10000,300,128,256,10,FF,30,260,84.15526037113672
398,0.001,10000,300,128,64,40,RAND,30,338,80.21269989013672
361,0.001,10000,1800,32,64,100,ZERO,30,267,83.83415222167969
54,0.001,10000,300,32,64,10,FF,10,259,91.46675502153
252,0.001,10000,300,32,64,100,LSTM,30,166,90.40777305609119
312,0.001,10000,300,32,256,100,FF,30,50,82.54926954432733
354,0.001,10000,300,32,512,40,ZERO,30,203,82.9769287109375
39,0.001,10000,1800,128,64,100,LSTM,10,158,92.047541628642
18,0.001,10000,300,32,64,40,LSTM,10,205,88.97975755798832
264,0.001,10000,300,32,512,100,LSTM,30,228,83.64580579793783
281,0.001,10000,1800,1024,256,10,FF,30,248,89.64234788002872
88,0.001,10000,300,1024,512,40,FF,10,124,80.98182474990541
50,0.001,10000,300,128,512,100,LSTM,10,320,79.56904588309021
99,0.001,10000,1800,128,256,100,FF,10,20,90.21026979963382
33,0.001,10000,1800,128,512,40,LSTM,10,427,91.02760545009835
122,0.001,10000,300,128,512,10,ZERO,10,373,77.99756622314453
321,0.001,10000,1800,128,512,100,FF,30,130,81.51133164545006
210,0.001,10000,300,32,512,100,RAND,10,181,84.82259368896484
10,0.001,10000,300,1024,256,10,LSTM,10,21,90.03503253619905
105,0.001,10000,1800,128,512,100,FF,10,191,89.86868819414015
68,0.001,10000,300,128,512,10,FF,10,431,87.14001009854191
271,0.001,10000,1800,32,64,10,FF,30,152,92.0788539137796
272,0.001,10000,300,128,64,10,FF,30,16,89.07964535137268
117,0.001,10000,1800,128,256,10,ZERO,10,283,79.30194091796875
202,0.001,10000,300,1024,64,100,RAND,10,235,84.82231903076172
316,0.001,10000,300,1024,256,100,FF,30,360,81.97345490345495
376,0.001,10000,300,1024,512,100,ZERO,30,377,81.25894927978516
338,0.001,10000,300,128,512,10,ZERO,30,69,79.32620239257812
2,0.001,10000,300,128,64,10,LSTM,10,54,91.63449980023148
9,0.001,10000,1800,128,256,10,LSTM,10,157,88.57776028524735
275,0.001,10000,1800,1024,64,10,FF,30,339,92.09156845897519
288,0.001,10000,300,32,64,40,FF,30,302,91.17335746176845
203,0.001,10000,1800,1024,64,100,RAND,10,367,88.25891876220703
154,0.001,10000,300,1024,256,100,ZERO,10,101,80.42288208007812
28,0.001,10000,300,1024,256,40,LSTM,10,312,82.97433041025555
42,0.001,10000,300,32,256,100,LSTM,10,365,83.43835809563932
20,0.001,10000,300,128,64,40,LSTM,10,385,89.4581802986659
260,0.001,10000,300,128,256,100,LSTM,30,372,83.40814239006109
65,0.001,10000,1800,1024,256,10,FF,10,65,87.09436798037984
84,0.001,10000,300,32,512,40,FF,10,315,83.7473987457998
257,0.001,10000,1800,1024,64,100,LSTM,30,310,84.95631216776664
285,0.001,10000,1800,128,512,10,FF,30,226,91.28923528018473
29,0.001,10000,1800,1024,256,40,LSTM,10,12,82.59651353780329
296,0.001,10000,300,128,256,40,FF,30,275,85.13583420790616
372,0.001,10000,300,32,512,100,ZERO,30,273,76.24590301513672
71,0.001,10000,1800,1024,512,10,FF,10,392,85.92310985592096
49,0.001,10000,1800,32,512,100,LSTM,10,278,91.03098562093567
359,0.001,10000,1800,1024,512,40,ZERO,30,91,82.34864807128906
273,0.001,10000,1800,128,64,10,FF,30,293,92.159900927768
393,0.001,10000,1800,128,512,10,RAND,30,147,80.61135864257812
116,0.001,10000,300,128,256,10,ZERO,10,404,79.57530975341797
37,0.001,10000,1800,32,64,100,LSTM,10,363,93.05736396463902
247,0.001,10000,1800,32,512,40,LSTM,30,223,89.50222277338267
48,0.001,10000,300,32,512,100,LSTM,10,274,83.52543592883124
262,0.001,10000,300,1024,256,100,LSTM,30,356,83.44583580993238
388,0.001,10000,300,1024,256,10,RAND,30,127,78.28626251220703
335,0.001,10000,1800,1024,256,10,ZERO,30,95,80.3123779296875
310,0.001,10000,300,1024,64,100,FF,30,41,87.2863042313716
417,0.001,10000,1800,128,64,100,RAND,30,70,87.34895324707031
328,0.001,10000,300,1024,64,10,ZERO,30,98,75.55298614501953
76,0.001,10000,300,1024,64,40,FF,10,221,92.17101362564229
64,0.001,10000,300,1024,256,10,FF,10,402,83.59239942941808
110,0.001,10000,300,128,64,10,ZERO,10,55,74.04117584228516
52,0.001,10000,300,1024,512,100,LSTM,10,6,82.02049897215062
366,0.001,10000,300,32,256,100,ZERO,30,321,83.96820068359375
301,0.001,10000,1800,32,512,40,FF,30,80,85.33232888572252
261,0.001,10000,1800,128,256,100,LSTM,30,13,90.48170151917228
124,0.001,10000,300,1024,512,10,ZERO,10,8,79.07077026367188
87,0.001,10000,1800,128,512,40,FF,10,391,88.43094260790785
277,0.001,10000,1800,32,256,10,FF,30,237,92.12839633014677
34,0.001,10000,300,1024,512,40,LSTM,10,200,83.89992475444518
348,0.001,10000,300,32,256,40,ZERO,30,180,82.88742065429688
209,0.001,10000,1800,1024,256,100,RAND,10,29,88.74681091308594
215,0.001,10000,1800,1024,512,100,RAND,10,383,82.79847717285156
118,0.001,10000,300,1024,256,10,ZERO,10,264,81.24215698242188
12,0.001,10000,300,32,512,10,LSTM,10,317,82.08417494799983
157,0.001,10000,1800,32,512,100,ZERO,10,355,81.72159576416016
269,0.001,10000,1800,1024,512,100,LSTM,30,110,89.14309861887894
322,0.001,10000,300,1024,512,100,FF,30,187,83.94785615173316
127,0.001,10000,1800,32,64,40,ZERO,10,247,81.29268646240234
362,0.001,10000,300,128,64,100,ZERO,30,119,85.15795135498047
181,0.001,10000,1800,32,64,40,RAND,10,307,81.386474609375
379,0.001,10000,1800,32,64,10,RAND,30,28,76.71730041503906
239,0.001,10000,1800,1024,64,40,LSTM,30,239,91.38122841044964
97,0.001,10000,1800,32,256,100,FF,10,68,87.4494603652151
146,0.001,10000,300,128,64,100,ZERO,10,206,81.85904693603516
298,0.001,10000,300,1024,256,40,FF,30,376,83.85348224935332
230,0.001,10000,300,128,512,10,LSTM,30,215,86.0316804118058
183,0.001,10000,1800,128,64,40,RAND,10,33,80.6921157836914
177,0.001,10000,1800,128,512,10,RAND,10,301,78.02642822265625
58,0.001,10000,300,1024,64,10,FF,10,164,87.79804006089081
337,0.001,10000,1800,32,512,10,ZERO,30,169,79.16975402832031
394,0.001,10000,300,1024,512,10,RAND,30,285,75.89378356933594
69,0.001,10000,1800,128,512,10,FF,10,142,88.75083048980396
241,0.001,10000,1800,32,256,40,LSTM,30,67,84.20009092140101
152,0.001,10000,300,128,256,100,ZERO,10,322,84.48165893554688
319,0.001,10000,1800,32,512,100,FF,30,62,84.1035866601556
191,0.001,10000,1800,1024,256,40,RAND,10,167,81.62390899658203
267,0.001,10000,1800,128,512,100,LSTM,30,429,81.59553916547362
17,0.001,10000,1800,1024,512,10,LSTM,10,188,84.43316092369078
341,0.001,10000,1800,1024,512,10,ZERO,30,341,80.24048614501953
402,0.001,10000,300,32,256,40,RAND,30,115,83.34150695800781
416,0.001,10000,300,128,64,100,RAND,30,88,82.30831909179688
311,0.001,10000,1800,1024,64,100,FF,30,270,88.57438812236302
349,0.001,10000,1800,32,256,40,ZERO,30,131,84.16561889648438
293,0.001,10000,1800,1024,64,40,FF,30,184,89.4560895173344
411,0.001,10000,1800,128,512,40,RAND,30,418,83.96105194091797
357,0.001,10000,1800,128,512,40,ZERO,30,375,87.6125717163086
306,0.001,10000,300,32,64,100,FF,30,266,91.45006774826567
57,0.001,10000,1800,128,64,10,FF,10,330,91.40807832241197
242,0.001,10000,300,128,256,40,LSTM,30,24,84.13614730367269
401,0.001,10000,1800,1024,64,40,RAND,30,243,78.31707000732422
378,0.001,10000,300,32,64,10,RAND,30,290,76.27986907958984
170,0.001,10000,300,128,256,10,RAND,10,168,79.6070785522461
187,0.001,10000,1800,32,256,40,RAND,10,245,86.67112731933594
47,0.001,10000,1800,1024,256,100,LSTM,10,366,88.77491204469976
368,0.001,10000,300,128,256,100,ZERO,30,386,83.07283782958984
45,0.001,10000,1800,128,256,100,LSTM,10,96,76.27729605317009
199,0.001,10000,1800,32,64,100,RAND,10,331,82.95054626464844
382,0.001,10000,300,1024,64,10,RAND,30,163,76.31300354003906
62,0.001,10000,300,128,256,10,FF,10,352,84.35565099164127
78,0.001,10000,300,32,256,40,FF,10,52,83.77694718961448
356,0.001,10000,300,128,512,40,ZERO,30,121,80.92501831054688
198,0.001,10000,300,32,64,100,RAND,10,108,82.43377685546875
350,0.001,10000,300,128,256,40,ZERO,30,388,82.5891342163086
119,0.001,10000,1800,1024,256,10,ZERO,10,411,77.64816284179688
153,0.001,10000,1800,128,256,100,ZERO,10,140,85.61214447021484
307,0.001,10000,1800,32,64,100,FF,30,36,91.63797260970622
21,0.001,10000,1800,128,64,40,LSTM,10,308,91.58591448969042
254,0.001,10000,300,128,64,100,LSTM,30,342,88.17820446793871
250,0.001,10000,300,1024,512,40,LSTM,30,93,83.4884673961508
243,0.001,10000,1800,128,256,40,LSTM,30,289,91.51397392495247
429,0.001,10000,1800,128,512,100,RAND,30,117,88.90425109863281
35,0.001,10000,1800,1024,512,40,LSTM,10,220,92.00635701735773
81,0.001,10000,1800,128,256,40,FF,10,45,87.19913954420718
159,0.001,10000,1800,128,512,100,ZERO,10,146,89.90479278564453
182,0.001,10000,300,128,64,40,RAND,10,133,81.75703430175781
304,0.001,10000,300,1024,512,40,FF,30,353,85.07857833200771
109,0.001,10000,1800,32,64,10,ZERO,10,64,82.9716796875
286,0.001,10000,300,1024,512,10,FF,30,405,81.53935707926668
374,0.001,10000,300,128,512,100,ZERO,30,38,82.93529510498047
92,0.001,10000,300,128,64,100,FF,10,190,86.81886307614745
367,0.001,10000,1800,32,256,100,ZERO,30,257,87.5195083618164
148,0.001,10000,300,1024,64,100,ZERO,10,171,83.81752014160156
70,0.001,10000,300,1024,512,10,FF,10,225,83.2620208855278
211,0.001,10000,1800,32,512,100,RAND,10,414,86.48218536376953
