experiment_id,lr,epochs,max_time,batch_size,seq_len,est_frac,est_direction,est_type,est_hidden_size,seed
93,0.001,10000,1800,1024,80,0.1,backward,ZERO,8,29
132,0.001,10000,300,1024,40,0.6,backward,LSTM,16,229
57,0.001,10000,1800,1024,80,0.1,backward,FF,8,56
308,0.001,10000,300,1024,80,0.1,backward,ZERO,32,39
97,0.001,10000,1800,1024,40,0.6,backward,ZERO,8,189
254,0.001,10000,300,1024,80,0.1,forward,FF,32,78
32,0.001,10000,300,1024,80,1.0,backward,LSTM,8,22
218,0.001,10000,300,1024,80,0.1,forward,LSTM,32,114
170,0.001,10000,300,1024,80,0.6,backward,FF,16,224
96,0.001,10000,300,1024,40,0.6,backward,ZERO,8,46
318,0.001,10000,300,1024,40,1.0,backward,ZERO,32,195
123,0.001,10000,1800,1024,80,1.0,forward,LSTM,16,216
229,0.001,10000,1800,1024,40,1.0,forward,LSTM,32,93
89,0.001,10000,1800,1024,256,1.0,forward,ZERO,8,317
307,0.001,10000,1800,1024,40,0.1,backward,ZERO,32,312
225,0.001,10000,1800,1024,80,0.6,forward,LSTM,32,205
169,0.001,10000,1800,1024,40,0.6,backward,FF,16,40
46,0.001,10000,300,1024,256,0.6,forward,FF,8,132
287,0.001,10000,1800,1024,256,1.0,backward,FF,32,32
149,0.001,10000,1800,1024,256,0.1,forward,FF,16,303
248,0.001,10000,300,1024,80,1.0,backward,LSTM,32,207
310,0.001,10000,300,1024,256,0.1,backward,ZERO,32,88
107,0.001,10000,1800,1024,256,1.0,backward,ZERO,8,323
215,0.001,10000,1800,1024,256,1.0,backward,ZERO,16,221
133,0.001,10000,1800,1024,40,0.6,backward,LSTM,16,111
0,0.001,10000,300,1024,40,0.1,forward,LSTM,8,295
212,0.001,10000,300,1024,80,1.0,backward,ZERO,16,130
71,0.001,10000,1800,1024,256,1.0,backward,FF,8,304
177,0.001,10000,1800,1024,80,1.0,backward,FF,16,24
102,0.001,10000,300,1024,40,1.0,backward,ZERO,8,27
67,0.001,10000,1800,1024,40,1.0,backward,FF,8,220
108,0.001,10000,300,1024,40,0.1,forward,LSTM,16,54
183,0.001,10000,1800,1024,80,0.1,forward,ZERO,16,19
84,0.001,10000,300,1024,40,1.0,forward,ZERO,8,160
319,0.001,10000,1800,1024,40,1.0,backward,ZERO,32,251
285,0.001,10000,1800,1024,80,1.0,backward,FF,32,202
125,0.001,10000,1800,1024,256,1.0,forward,LSTM,16,225
303,0.001,10000,1800,1024,80,1.0,forward,ZERO,32,25
189,0.001,10000,1800,1024,80,0.6,forward,ZERO,16,51
181,0.001,10000,1800,1024,40,0.1,forward,ZERO,16,226
251,0.001,10000,1800,1024,256,1.0,backward,LSTM,32,227
109,0.001,10000,1800,1024,40,0.1,forward,LSTM,16,206
26,0.001,10000,300,1024,80,0.6,backward,LSTM,8,179
230,0.001,10000,300,1024,80,1.0,forward,LSTM,32,275
28,0.001,10000,300,1024,256,0.6,backward,LSTM,8,7
255,0.001,10000,1800,1024,80,0.1,forward,FF,32,232
216,0.001,10000,300,1024,40,0.1,forward,LSTM,32,250
168,0.001,10000,300,1024,40,0.6,backward,FF,16,302
121,0.001,10000,1800,1024,40,1.0,forward,LSTM,16,76
236,0.001,10000,300,1024,80,0.1,backward,LSTM,32,94
134,0.001,10000,300,1024,80,0.6,backward,LSTM,16,191
69,0.001,10000,1800,1024,80,1.0,backward,FF,8,5
99,0.001,10000,1800,1024,80,0.6,backward,ZERO,8,214
231,0.001,10000,1800,1024,80,1.0,forward,LSTM,32,162
186,0.001,10000,300,1024,40,0.6,forward,ZERO,16,182
24,0.001,10000,300,1024,40,0.6,backward,LSTM,8,81
39,0.001,10000,1800,1024,80,0.1,forward,FF,8,116
243,0.001,10000,1800,1024,80,0.6,backward,LSTM,32,49
239,0.001,10000,1800,1024,256,0.1,backward,LSTM,32,320
129,0.001,10000,1800,1024,80,0.1,backward,LSTM,16,44
280,0.001,10000,300,1024,256,0.6,backward,FF,32,28
140,0.001,10000,300,1024,80,1.0,backward,LSTM,16,171
131,0.001,10000,1800,1024,256,0.1,backward,LSTM,16,129
171,0.001,10000,1800,1024,80,0.6,backward,FF,16,13
293,0.001,10000,1800,1024,256,0.1,forward,ZERO,32,147
113,0.001,10000,1800,1024,256,0.1,forward,LSTM,16,213
18,0.001,10000,300,1024,40,0.1,backward,LSTM,8,92
76,0.001,10000,300,1024,256,0.1,forward,ZERO,8,158
242,0.001,10000,300,1024,80,0.6,backward,LSTM,32,69
311,0.001,10000,1800,1024,256,0.1,backward,ZERO,32,70
111,0.001,10000,1800,1024,80,0.1,forward,LSTM,16,144
223,0.001,10000,1800,1024,40,0.6,forward,LSTM,32,149
188,0.001,10000,300,1024,80,0.6,forward,ZERO,16,80
9,0.001,10000,1800,1024,80,0.6,forward,LSTM,8,159
198,0.001,10000,300,1024,40,0.1,backward,ZERO,16,58
323,0.001,10000,1800,1024,256,1.0,backward,ZERO,32,172
159,0.001,10000,1800,1024,80,1.0,forward,FF,16,4
63,0.001,10000,1800,1024,80,0.6,backward,FF,8,8
43,0.001,10000,1800,1024,40,0.6,forward,FF,8,60
91,0.001,10000,1800,1024,40,0.1,backward,ZERO,8,268
222,0.001,10000,300,1024,40,0.6,forward,LSTM,32,201
104,0.001,10000,300,1024,80,1.0,backward,ZERO,8,124
138,0.001,10000,300,1024,40,1.0,backward,LSTM,16,79
175,0.001,10000,1800,1024,40,1.0,backward,FF,16,190
112,0.001,10000,300,1024,256,0.1,forward,LSTM,16,134
272,0.001,10000,300,1024,80,0.1,backward,FF,32,42
68,0.001,10000,300,1024,80,1.0,backward,FF,8,196
36,0.001,10000,300,1024,40,0.1,forward,FF,8,55
20,0.001,10000,300,1024,80,0.1,backward,LSTM,8,212
65,0.001,10000,1800,1024,256,0.6,backward,FF,8,173
42,0.001,10000,300,1024,40,0.6,forward,FF,8,150
126,0.001,10000,300,1024,40,0.1,backward,LSTM,16,208
3,0.001,10000,1800,1024,80,0.1,forward,LSTM,8,274
117,0.001,10000,1800,1024,80,0.6,forward,LSTM,16,231
148,0.001,10000,300,1024,256,0.1,forward,FF,16,156
267,0.001,10000,1800,1024,80,1.0,forward,FF,32,267
164,0.001,10000,300,1024,80,0.1,backward,FF,16,154
316,0.001,10000,300,1024,256,0.6,backward,ZERO,32,211
304,0.001,10000,300,1024,256,1.0,forward,ZERO,32,165
128,0.001,10000,300,1024,80,0.1,backward,LSTM,16,176
182,0.001,10000,300,1024,80,0.1,forward,ZERO,16,204
137,0.001,10000,1800,1024,256,0.6,backward,LSTM,16,199
241,0.001,10000,1800,1024,40,0.6,backward,LSTM,32,169
105,0.001,10000,1800,1024,80,1.0,backward,ZERO,8,280
7,0.001,10000,1800,1024,40,0.6,forward,LSTM,8,234
246,0.001,10000,300,1024,40,1.0,backward,LSTM,32,321
86,0.001,10000,300,1024,80,1.0,forward,ZERO,8,264
179,0.001,10000,1800,1024,256,1.0,backward,FF,16,77
119,0.001,10000,1800,1024,256,0.6,forward,LSTM,16,35
286,0.001,10000,300,1024,256,1.0,backward,FF,32,31
115,0.001,10000,1800,1024,40,0.6,forward,LSTM,16,307
161,0.001,10000,1800,1024,256,1.0,forward,FF,16,200
29,0.001,10000,1800,1024,256,0.6,backward,LSTM,8,6
185,0.001,10000,1800,1024,256,0.1,forward,ZERO,16,278
153,0.001,10000,1800,1024,80,0.6,forward,FF,16,16
54,0.001,10000,300,1024,40,0.1,backward,FF,8,52
30,0.001,10000,300,1024,40,1.0,backward,LSTM,8,218
100,0.001,10000,300,1024,256,0.6,backward,ZERO,8,89
295,0.001,10000,1800,1024,40,0.6,forward,ZERO,32,299
151,0.001,10000,1800,1024,40,0.6,forward,FF,16,223
237,0.001,10000,1800,1024,80,0.1,backward,LSTM,32,298
56,0.001,10000,300,1024,80,0.1,backward,FF,8,254
60,0.001,10000,300,1024,40,0.6,backward,FF,8,17
209,0.001,10000,1800,1024,256,0.6,backward,ZERO,16,62
262,0.001,10000,300,1024,256,0.6,forward,FF,32,121
291,0.001,10000,1800,1024,80,0.1,forward,ZERO,32,288
264,0.001,10000,300,1024,40,1.0,forward,FF,32,297
306,0.001,10000,300,1024,40,0.1,backward,ZERO,32,174
208,0.001,10000,300,1024,256,0.6,backward,ZERO,16,240
317,0.001,10000,1800,1024,256,0.6,backward,ZERO,32,9
298,0.001,10000,300,1024,256,0.6,forward,ZERO,32,197
167,0.001,10000,1800,1024,256,0.1,backward,FF,16,281
38,0.001,10000,300,1024,80,0.1,forward,FF,8,122
269,0.001,10000,1800,1024,256,1.0,forward,FF,32,57
201,0.001,10000,1800,1024,80,0.1,backward,ZERO,16,155
106,0.001,10000,300,1024,256,1.0,backward,ZERO,8,37
58,0.001,10000,300,1024,256,0.1,backward,FF,8,290
163,0.001,10000,1800,1024,40,0.1,backward,FF,16,67
124,0.001,10000,300,1024,256,1.0,forward,LSTM,16,133
154,0.001,10000,300,1024,256,0.6,forward,FF,16,75
59,0.001,10000,1800,1024,256,0.1,backward,FF,8,230
94,0.001,10000,300,1024,256,0.1,backward,ZERO,8,210
53,0.001,10000,1800,1024,256,1.0,forward,FF,8,68
290,0.001,10000,300,1024,80,0.1,forward,ZERO,32,301
158,0.001,10000,300,1024,80,1.0,forward,FF,16,139
51,0.001,10000,1800,1024,80,1.0,forward,FF,8,283
274,0.001,10000,300,1024,256,0.1,backward,FF,32,273
305,0.001,10000,1800,1024,256,1.0,forward,ZERO,32,310
219,0.001,10000,1800,1024,80,0.1,forward,LSTM,32,138
74,0.001,10000,300,1024,80,0.1,forward,ZERO,8,146
282,0.001,10000,300,1024,40,1.0,backward,FF,32,163
4,0.001,10000,300,1024,256,0.1,forward,LSTM,8,140
139,0.001,10000,1800,1024,40,1.0,backward,LSTM,16,71
207,0.001,10000,1800,1024,80,0.6,backward,ZERO,16,123
136,0.001,10000,300,1024,256,0.6,backward,LSTM,16,18
256,0.001,10000,300,1024,256,0.1,forward,FF,32,180
5,0.001,10000,1800,1024,256,0.1,forward,LSTM,8,153
141,0.001,10000,1800,1024,80,1.0,backward,LSTM,16,271
61,0.001,10000,1800,1024,40,0.6,backward,FF,8,1
135,0.001,10000,1800,1024,80,0.6,backward,LSTM,16,241
